
2025-12-27 22:16:40,078 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/toi/firststepbypronamel "HTTP/1.1 200 OK"
2025-12-27 22:16:42,472 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/games/connect/today "HTTP/1.1 200 OK"
2025-12-27 22:16:42,945 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/games/loop-a-loop/today "HTTP/1.1 200 OK"
2025-12-27 22:16:43,411 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/games/location-guesser/today "HTTP/1.1 200 OK"
2025-12-27 22:16:48,691 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/world/china "HTTP/1.1 200 OK"
2025-12-27 22:16:49,189 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/world/us "HTTP/1.1 200 OK"
2025-12-27 22:16:49,877 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/topic/Donald-Trump "HTTP/1.1 200 OK"
2025-12-27 22:16:50,378 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/topic/Elon-Musk "HTTP/1.1 200 OK"
2025-12-27 22:16:52,427 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/sports/nba "HTTP/1.1 200 OK"
2025-12-27 22:16:52,943 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/life-style/fashion "HTTP/1.1 200 OK"
2025-12-27 22:16:56,251 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/etimes/trending "HTTP/1.1 200 OK"
2025-12-27 22:16:57,429 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/astrology/horoscope "HTTP/1.1 200 OK"
2025-12-27 22:17:00,355 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/entertainment/latest-new-movies "HTTP/1.1 200 OK"
2025-12-27 22:17:01,895 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/entertainment/english/hollywood/top-20-best-hollywood-movies-of-2025 "HTTP/1.1 200 OK"
2025-12-27 22:17:02,608 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/entertainment/tamil/kollywood/top-20-best-tamil-movies-of-2025 "HTTP/1.1 200 OK"
2025-12-27 22:17:08,064 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/business/gold-rates-today "HTTP/1.1 200 OK"
2025-12-27 22:17:08,854 | INFO | httpx | HTTP Request: GET https://gadgetsnow.indiatimes.com/mobile-phones "HTTP/1.1 200 OK"
2025-12-27 22:17:10,008 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/voice-of-conscience "HTTP/1.1 200 OK"
2025-12-27 22:17:10,473 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/auto "HTTP/1.1 200 OK"
2025-12-27 22:17:14,512 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/travel "HTTP/1.1 301 Moved Permanently"
2025-12-27 22:17:16,733 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/business/bank-holidays/is-bank-open-today "HTTP/1.1 200 OK"
2025-12-27 22:17:17,235 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/business/bank-holidays/is-bank-open-tomorrow "HTTP/1.1 200 OK"
2025-12-27 22:17:17,704 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/technology/tech-news "HTTP/1.1 200 OK"
2025-12-27 22:17:18,183 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/india/public-holidays "HTTP/1.1 200 OK"
2025-12-27 22:17:21,949 | INFO | __main__ | ✓ [1] Stock Market Today | Share Market Live Updates, In...
2025-12-27 22:17:22,425 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/us "HTTP/1.1 200 OK"
2025-12-27 22:17:23,031 | INFO | httpx | HTTP Request: GET https://navbharattimes.indiatimes.com/ "HTTP/1.1 200 OK"
2025-12-27 22:17:24,463 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/weather "HTTP/1.1 200 OK"
2025-12-27 22:17:26,327 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/business/gold-rates-today "HTTP/1.1 200 OK"
